image,endpoint_count,branch_point_count,connected_components,graph_nodes,graph_edges,skeleton_length_pixels,branch_density,endpoint_density,average_width_pixels,maximum_width_pixels,crack_coverage_percent,crack_area_pixels,dominant_orientation_degrees
20160303_091825_641_361,4,8,1,663,677,776.41,0.010304,0.005152,11.63,36.36,5.0816,11708,81.7
20160303_091825_641_721,7,4,2,400,403,453.95,0.008812,0.01542,6.64,17.18,2.0369,4693,94.73
20160303_091830_1_1921,7,6,1,797,801,904.14,0.006636,0.007742,18.27,57.18,10.2192,23545,130.06
20160303_091830_361_1281,12,12,4,628,642,735.61,0.016313,0.016313,8.8,31.58,3.0872,7113,120.05
20160303_091830_361_1921,18,6,7,947,947,1074.16,0.005586,0.016757,11.49,46.0,5.7439,13234,68.21
20160303_091830_721_1,10,4,3,643,645,707.96,0.00565,0.014125,11.42,39.59,5.2582,12115,91.86
20160303_091830_721_1281,6,3,2,135,136,149.67,0.020044,0.040088,9.59,24.38,0.753,1735,114.72
20160303_091830_721_641,21,11,8,733,742,852.18,0.012908,0.024643,10.1,39.97,3.9596,9123,92.12
20160303_091837_361_1,7,3,3,538,540,605.03,0.004958,0.01157,10.16,30.0,3.6558,8423,79.48
20160303_091837_361_1281,18,10,8,501,507,569.55,0.017558,0.031604,6.73,23.58,1.7604,4056,82.13
20160303_091837_361_641,17,17,2,1002,1025,1182.4,0.014378,0.014378,11.9,46.39,7.8112,17997,97.59
20160303_091837_721_1,13,13,3,828,874,1009.45,0.012878,0.012878,8.81,37.99,3.9028,8992,112.47
20160303_091837_721_1281,16,9,6,614,622,692.83,0.01299,0.023094,8.24,27.57,2.9249,6739,87.11
20160303_091837_721_1921,21,14,4,950,969,1109.83,0.012615,0.018922,7.74,23.18,5.1957,11971,73.31
20160306_104522_1281_1081,6,0,3,166,163,186.2,0.0,0.032224,4.72,12.79,0.6107,1407,73.21
20160306_104522_1281_361,5,5,2,560,562,646.5,0.007734,0.007734,22.42,83.54,5.4136,12473,178.32
20160306_104522_1281_721,11,7,2,877,882,961.94,0.007277,0.011435,16.75,80.69,6.7283,15502,172.91
20160306_104522_1921_361,2,1,1,507,508,563.92,0.001773,0.003547,10.26,36.36,3.2409,7467,4.42
20160306_104522_1921_721,5,3,2,318,322,357.21,0.008398,0.013997,11.0,32.0,1.6554,3814,3.28
20160306_104522_1_361,27,20,8,1464,1488,1719.13,0.011634,0.015706,13.85,51.99,12.8828,29682,22.37
20160306_104522_1_721,1,0,1,203,202,212.36,0.0,0.004709,18.76,52.79,2.043,4707,2.54
20160306_104522_641_361,8,9,1,840,852,931.94,0.009657,0.008584,19.69,70.3,6.9818,16086,2.77
20160306_104522_641_721,7,5,3,643,644,696.61,0.007178,0.010049,24.66,82.69,6.51,14999,179.75
20160306_104527_1281_361,8,5,2,611,616,690.56,0.007241,0.011585,24.3,87.18,7.0829,16319,174.49
20160306_104527_1281_721,12,6,5,1203,1207,1364.82,0.004396,0.008792,12.68,50.4,9.7309,22420,10.97
20160306_104527_1921_721,13,11,1,1188,1196,1368.73,0.008037,0.009498,25.08,97.58,18.3746,42335,5.36
20160306_104527_1_361,11,7,2,621,628,711.67,0.009836,0.015457,18.09,48.76,8.5399,19676,174.28
20160306_104527_641_361,8,6,1,860,868,985.22,0.00609,0.00812,21.1,83.94,9.4861,21856,6.94
20160306_104527_641_721,5,5,1,679,681,750.59,0.006661,0.006661,23.18,63.94,8.7708,20208,175.5
20160307_144115_1281_1,2,1,1,396,397,453.75,0.002204,0.004408,7.35,23.58,2.1367,4923,86.79
20160307_144115_1281_361,5,4,4,431,437,499.96,0.008001,0.010001,11.25,36.39,2.875,6624,95.18
20160307_144115_1281_721,0,0,1,136,135,153.64,0.0,0.0,14.59,35.15,1.3576,3128,104.82
20160307_144115_641_1081,2,1,1,373,374,420.81,0.002376,0.004753,6.39,22.4,1.6766,3863,92.85
20160307_144115_641_721,8,1,5,321,318,355.69,0.002811,0.022491,7.21,25.59,1.3607,3135,111.22
20160307_144252_1281_1,6,4,1,389,393,441.46,0.009061,0.013591,7.87,22.0,2.2921,5281,104.08
20160307_144252_1281_361,10,4,3,425,430,475.56,0.008411,0.021028,8.21,24.0,2.3546,5425,85.11
20160307_144252_1281_721,4,3,1,432,435,518.67,0.005784,0.007712,6.81,21.58,2.2791,5251,133.9
20160307_144252_641_1081,9,7,1,488,492,569.87,0.012283,0.015793,7.6,27.57,2.5017,5764,120.55
20160307_144924_1281_361,3,1,1,390,389,442.02,0.002262,0.006787,4.91,18.39,1.2205,2812,169.84
20160307_144924_1281_721,6,0,5,230,225,258.55,0.0,0.023206,4.56,16.8,0.658,1516,167.47
20160307_144924_1921_1,3,0,2,102,100,115.74,0.0,0.02592,6.34,19.58,0.4479,1032,4.27
20160307_144924_1921_361,8,6,2,616,622,729.28,0.008227,0.01097,4.19,15.18,1.5417,3552,148.45
20160307_144924_1_361,10,8,2,724,731,828.34,0.009658,0.012072,3.69,12.0,1.6185,3729,12.04
20160307_144924_641_361,4,0,3,194,191,217.51,0.0,0.01839,3.62,10.0,0.4414,1017,13.11
20160307_144924_641_721,7,2,3,300,298,348.95,0.005732,0.02006,4.55,11.59,0.9948,2292,18.91
20160307_144931_1281_1,4,2,1,363,365,418.02,0.004784,0.009569,5.96,16.0,1.6159,3723,110.26
20160307_144931_1281_361,2,1,1,368,369,414.98,0.00241,0.00482,6.04,20.0,1.6345,3766,81.63
20160307_144931_1281_721,4,3,1,716,720,801.19,0.003744,0.004993,9.42,31.58,5.3633,12357,13.23
20160307_144931_1921_721,6,4,1,674,679,758.94,0.00527,0.007906,8.92,28.36,4.3837,10100,163.5
20160307_144931_1_361,5,4,1,663,668,757.88,0.005278,0.006597,6.75,28.0,3.2435,7473,172.42
20160307_144931_1_721,3,1,2,257,256,297.84,0.003358,0.010073,8.07,33.58,1.0569,2435,167.99
20160307_144931_641_361,2,1,1,448,447,512.86,0.00195,0.0039,6.3,17.58,2.1671,4993,14.09
20160307_144931_641_721,2,1,1,223,224,253.41,0.003946,0.007892,10.16,28.0,1.7595,4054,15.27
20160307_145000_1281_361,5,2,2,686,687,753.27,0.002655,0.006638,9.7,28.78,5.0074,11537,3.06
20160307_145000_1921_361,1,0,1,78,77,88.6,0.0,0.011287,16.91,42.0,1.0065,2319,16.51
20160307_145000_1921_721,2,1,1,643,644,731.4,0.001367,0.002734,13.05,41.96,6.8138,15699,12.64
20160307_145000_1_721,5,3,1,692,693,763.42,0.00393,0.00655,15.61,57.97,8.3546,19249,168.9
20160307_145000_641_361,3,1,1,640,641,690.29,0.001449,0.004346,10.48,28.78,4.5812,10555,178.59
20160307_145000_641_721,0,0,2,212,210,222.43,0.0,0.0,10.77,28.0,0.8481,1954,178.42
20160307_145107_1281_361,1,1,3,348,346,375.82,0.002661,0.002661,16.13,55.14,2.6298,6059,178.45
20160307_145107_1281_721,2,1,3,543,541,598.16,0.001672,0.003344,15.39,47.54,5.1506,11867,1.06
20160307_145107_1921_1,4,0,3,364,361,437.22,0.0,0.009149,37.35,117.04,13.2148,30447,42.88
20160307_145107_1921_1081,7,0,7,278,271,324.02,0.0,0.021604,11.04,26.79,1.9366,4462,28.37
20160307_145107_1921_361,4,4,2,647,648,731.67,0.005467,0.005467,13.15,43.15,5.7648,13282,161.99
20160307_145107_1921_721,3,2,2,206,207,233.51,0.008565,0.012847,15.0,50.0,1.4709,3389,175.48
20160307_145107_1_1,2,0,1,397,396,483.81,0.0,0.004134,10.41,30.37,3.5464,8171,54.3
20160307_145107_1_361,1,0,1,107,106,133.75,0.0,0.007477,11.31,28.36,1.0786,2485,36.64
20160307_145107_641_1081,6,4,1,586,590,648.82,0.006165,0.009248,18.9,55.53,7.7656,17892,90.9
20160307_145107_641_361,3,1,1,329,329,377.05,0.002652,0.007957,8.51,25.58,2.1766,5015,68.2
20160307_145107_641_721,7,4,3,888,891,1015.68,0.003938,0.006892,12.0,40.79,7.8516,18090,157.64
20160307_145113_1281_361,3,2,1,213,216,258.25,0.007744,0.011617,14.03,44.0,2.0955,4828,142.52
20160307_145113_1281_721,8,7,1,612,618,695.87,0.010059,0.011496,10.75,29.16,4.7886,11033,171.1
20160307_145113_1921_1081,2,0,1,172,171,209.52,0.0,0.009546,7.02,19.6,0.9583,2208,50.11
20160307_145113_1921_361,10,8,1,844,853,952.41,0.0084,0.0105,13.58,48.0,7.8798,18155,176.65
20160307_145113_1_361,2,0,1,142,141,165.02,0.0,0.012119,17.29,54.79,1.6897,3893,32.85
20160307_145113_1_721,9,5,2,667,673,759.16,0.006586,0.011855,6.51,25.97,3.0595,7049,5.47
20160307_145113_641_721,13,8,2,802,813,911.17,0.00878,0.014267,11.54,41.18,6.1736,14224,173.21
20160307_145255_361_1,1,1,1,535,535,597.96,0.001672,0.001672,18.11,44.0,6.5725,15143,103.81
20160307_145255_361_1281,7,4,1,838,846,940.44,0.004253,0.007443,18.5,68.0,10.1402,23363,90.56
20160307_145255_361_1921,3,1,1,643,644,713.17,0.001402,0.004207,13.33,42.0,6.592,15188,86.75
20160307_145255_361_641,3,1,2,520,519,576.58,0.001734,0.005203,18.35,67.91,5.3047,12222,87.13
20160307_145255_721_1,1,0,1,334,333,366.14,0.0,0.002731,19.31,57.94,3.9132,9016,106.76
20160307_145255_721_641,1,1,2,391,391,427.87,0.002337,0.002337,17.33,56.0,3.5152,8099,93.21
20160307_145259_1281_361,3,1,1,648,648,721.32,0.001386,0.004159,17.0,54.73,8.6493,19928,5.69
20160307_145259_1921_361,1,2,2,662,662,726.2,0.002754,0.001377,19.05,65.18,6.1415,14150,0.72
20160307_145259_1921_721,1,2,2,510,512,560.46,0.003568,0.001784,10.45,36.0,2.7326,6296,1.18
20160307_145259_1_361,5,3,1,698,700,779.11,0.003851,0.006418,17.54,47.18,10.0564,23170,7.38
20160307_145259_641_361,3,2,2,435,434,481.22,0.004156,0.006234,17.04,52.33,4.5964,10590,3.04
20160307_145259_641_721,2,2,1,401,402,452.12,0.004424,0.004424,19.29,56.0,5.02,11566,0.68
20160308_072831_1281_361,8,6,1,757,762,855.61,0.007013,0.00935,18.72,59.12,9.888,22782,4.04
20160308_072831_1921_361,3,2,1,230,232,250.64,0.00798,0.011969,27.38,80.69,2.8333,6528,5.43
20160308_072831_1921_721,4,1,3,639,636,720.91,0.001387,0.005549,13.35,48.39,5.6432,13002,14.88
20160308_072831_641_1,5,4,1,705,710,819.77,0.004879,0.006099,24.04,84.3,10.5061,24206,46.81
20160308_072831_641_1081,6,4,1,491,496,570.14,0.007016,0.010524,19.09,58.0,6.263,14430,88.56
20160308_072831_641_361,4,4,1,866,873,978.62,0.004087,0.004087,18.22,58.79,10.1285,23336,39.57
20160308_072831_641_721,3,2,1,399,400,439.76,0.004548,0.006822,17.93,46.0,5.7292,13200,84.02
20160308_072844_1281_721,5,4,1,694,699,776.87,0.005149,0.006436,18.02,52.0,9.9431,22909,175.17
20160308_072844_1921_1,2,0,1,524,523,593.42,0.0,0.00337,19.51,58.33,7.487,17250,146.96
20160308_072844_1921_361,0,0,1,424,423,492.59,0.0,0.0,16.86,44.0,5.6988,13130,115.0
20160308_072844_1921_721,0,0,1,101,100,121.95,0.0,0.0,16.83,42.34,1.1866,2734,142.17
20160308_072844_1_721,4,2,1,676,676,745.17,0.002684,0.005368,23.29,69.51,12.6853,29227,179.08
20160308_072844_641_721,8,4,2,768,771,874.55,0.004574,0.009148,25.46,79.09,14.0343,32335,3.05
20160308_072935_1281_361,3,0,3,107,104,115.6,0.0,0.025952,7.52,19.6,0.4792,1104,167.77
20160308_072935_1281_721,5,4,1,712,716,816.24,0.004901,0.006126,15.36,47.99,8.125,18720,177.29
20160308_072935_1921_361,7,5,1,743,749,849.65,0.005885,0.008239,17.5,68.33,8.7062,20059,4.72
20160308_072935_1921_721,3,2,2,167,167,194.34,0.010291,0.015437,32.06,95.98,2.0933,4823,2.83
20160308_072935_1_361,10,9,1,791,800,914.32,0.009843,0.010937,19.18,55.53,11.3785,26216,3.91
20160308_072935_641_361,10,9,1,857,866,992.34,0.00907,0.010077,20.14,65.54,12.1345,27958,9.39
20160308_072935_641_721,1,1,2,200,199,226.75,0.00441,0.00441,18.59,46.0,1.8681,4304,16.38
20160308_073014_1281_361,2,0,1,97,96,105.94,0.0,0.018878,31.53,90.79,1.2804,2950,164.76
20160308_073014_1281_721,3,2,1,696,697,796.41,0.002511,0.003767,19.7,64.0,10.1662,23423,170.93
20160308_073014_1921_361,2,1,1,663,663,753.71,0.001327,0.002654,21.0,87.18,9.9787,22991,172.17
20160308_073014_1921_721,3,1,1,83,83,94.18,0.010618,0.031853,21.44,59.19,0.9314,2146,14.1
20160308_073014_1_361,1,0,1,284,283,329.39,0.0,0.003036,32.88,89.58,7.7057,17754,25.59
20160308_073014_1_721,0,0,1,513,512,580.35,0.0,0.0,27.79,66.38,11.3581,26169,16.2
20160308_073014_641_721,2,2,1,735,738,827.06,0.002418,0.002418,29.42,84.0,17.3533,39982,174.02
20160308_073213_1281_721,3,2,1,671,674,753.94,0.002653,0.003979,11.81,57.94,4.8828,11250,13.11
20160308_073213_1921_1081,4,1,2,645,645,739.03,0.001353,0.005413,15.38,62.0,6.7917,15648,18.77
20160308_073213_1_1,2,1,1,410,410,499.88,0.002,0.004001,24.57,83.91,6.8924,15880,45.42
20160308_073213_1_361,0,0,1,475,474,579.21,0.0,0.0,16.85,51.54,6.5738,15146,36.03
20160308_073213_641_361,0,0,1,107,106,130.02,0.0,0.0,8.34,21.19,0.6953,1602,38.5
20160308_073213_641_721,2,1,1,580,580,679.0,0.001473,0.002946,18.52,74.3,7.9184,18244,19.15
20160308_073356_1281_1081,1,0,1,335,334,388.26,0.0,0.002576,12.81,40.75,3.4019,7838,67.77
20160308_073356_1281_361,2,1,2,263,262,289.75,0.003451,0.006902,24.01,82.0,2.8581,6585,91.78
20160308_073356_1281_721,2,1,1,319,319,352.14,0.00284,0.00568,13.51,42.79,3.049,7025,90.76
20160308_073356_641_1,6,6,1,509,517,589.49,0.010178,0.010178,15.67,44.76,5.8971,13587,74.46
20160308_073356_641_1081,1,0,1,91,90,100.77,0.0,0.009924,13.82,32.0,0.8247,1900,72.95
20160308_073356_641_361,2,0,2,334,332,367.62,0.0,0.00544,13.52,40.79,2.4462,5636,84.52
20160308_073356_641_721,2,0,2,132,130,145.74,0.0,0.013723,15.33,43.15,1.082,2493,93.91
20160308_074702_1281_361,3,2,1,723,723,797.97,0.002506,0.00376,37.34,108.77,19.8129,45649,178.31
20160308_074702_1281_721,1,0,2,120,118,128.77,0.0,0.007766,12.56,38.76,0.5239,1207,179.8
20160308_074702_1921_361,3,1,1,678,677,741.62,0.001348,0.004045,29.33,85.12,16.5282,38081,177.75
20160308_074702_1_1081,1,0,1,215,214,246.72,0.0,0.004053,13.73,39.54,2.2244,5125,151.46
20160308_074702_1_361,4,2,1,709,711,812.07,0.002463,0.004926,20.8,80.79,11.7969,27180,179.2
20160308_074702_1_721,5,0,4,640,636,751.98,0.0,0.006649,11.98,72.8,5.3832,12403,170.36
20160308_074702_641_361,3,1,2,616,614,712.58,0.001403,0.00421,41.24,144.21,12.3008,28341,0.76
20160308_074702_641_721,4,1,2,425,424,463.35,0.002158,0.008633,32.8,109.59,6.9175,15938,178.91
20160308_155720_1281_1,13,9,2,868,877,991.74,0.009075,0.013108,12.37,43.15,7.5074,17297,172.58
20160308_155720_1281_1081,13,9,3,955,962,1138.04,0.007908,0.011423,16.37,74.35,6.1593,14191,154.37
20160308_155720_1281_361,10,3,4,725,727,817.3,0.003671,0.012235,9.21,28.78,4.6523,10719,2.73
20160308_155720_1281_721,13,14,2,1740,1754,1972.7,0.007097,0.00659,11.32,43.94,12.1528,28000,174.63
20160308_155720_1921_1,14,10,3,982,996,1124.41,0.008894,0.012451,11.48,37.58,7.4449,17153,177.14
20160308_155720_1921_361,3,2,1,174,173,210.69,0.009492,0.014239,7.43,20.38,0.9531,2196,140.46
20160308_155720_1921_721,9,2,4,654,653,725.07,0.002758,0.012413,8.63,29.18,3.6385,8383,172.82
20160308_155720_1_1,9,8,1,889,900,1047.87,0.007635,0.008589,12.23,34.39,7.862,18114,27.66
20160308_155720_1_1081,1,0,1,453,452,523.24,0.0,0.001911,3.55,9.99,1.072,2470,23.76
20160308_155720_1_361,1,0,1,126,125,140.74,0.0,0.007105,12.65,32.0,1.0269,2366,13.08
20160308_155720_641_1,5,4,1,552,556,616.89,0.006484,0.008105,11.95,34.36,4.4761,10313,167.87
20160308_155720_641_1081,9,7,4,983,990,1109.71,0.006308,0.00811,8.17,31.58,4.6267,10660,163.83
20160308_155720_641_361,7,7,2,604,612,686.14,0.010202,0.010202,14.5,43.54,5.8759,13538,79.36
20160308_155720_641_721,8,8,1,1114,1125,1298.97,0.006159,0.006159,9.79,36.39,6.5217,15026,31.15
20160308_155828_1281_721,7,3,4,627,628,688.48,0.004357,0.010167,9.01,40.76,3.8008,8757,174.91
20160308_155828_1921_361,3,0,3,306,303,323.71,0.0,0.009268,11.21,43.94,1.4141,3258,0.62
20160308_155828_1921_721,5,2,4,505,504,563.23,0.003551,0.008877,12.16,58.8,2.7418,6317,2.3
20160308_155828_1_361,1,0,1,488,487,569.01,0.0,0.001757,5.45,19.99,1.8754,4321,18.17
20160308_155828_1_721,0,0,1,210,209,237.99,0.0,0.0,4.28,15.59,0.4744,1093,16.4
20160308_155828_641_721,9,6,2,686,692,790.58,0.007589,0.011384,6.81,23.18,2.9957,6902,174.53
20160308_160053_1281_361,4,2,1,668,670,740.42,0.002701,0.005402,18.23,60.0,9.2843,21391,171.31
20160308_160053_1921_361,6,2,2,677,677,736.65,0.002715,0.008145,18.8,56.39,8.8898,20482,176.29
20160308_160053_1_361,2,0,2,272,270,288.64,0.0,0.006929,16.44,61.18,1.6402,3779,179.91
20160308_160053_1_721,2,0,1,624,623,660.28,0.0,0.003029,24.27,75.9,10.7261,24713,178.64
20160308_160053_641_361,2,0,1,636,635,694.65,0.0,0.002879,18.73,62.0,7.1289,16425,175.26
20160308_160053_641_721,0,0,2,175,173,180.87,0.0,0.0,11.96,32.0,0.592,1364,0.89
20160310_114446_641_1,4,4,1,591,594,681.81,0.005867,0.005867,29.85,82.3,12.5612,28941,93.98
20160310_114446_641_1081,3,1,1,387,388,436.46,0.002291,0.006873,25.68,69.91,8.0343,18511,98.27
20160310_114446_641_361,5,8,1,661,674,787.91,0.010153,0.006346,33.52,93.09,11.9957,27638,89.88
20160310_114446_641_721,6,7,2,807,824,964.42,0.007258,0.006221,27.67,103.47,9.9197,22855,71.78
20160316_141721_1281_721,2,1,1,818,818,933.57,0.001071,0.002142,7.99,22.39,5.1189,11794,3.41
20160316_141721_1921_361,2,0,2,380,378,404.1,0.0,0.004949,10.95,41.15,2.3299,5368,178.45
20160316_141721_1921_721,1,1,2,496,494,548.26,0.001824,0.001824,9.15,30.76,2.6523,6111,172.43
20160316_141721_1_721,6,4,1,664,667,746.94,0.005355,0.008033,9.49,34.0,4.822,11110,2.5
20160316_141721_641_721,7,5,2,660,662,752.71,0.006643,0.0093,8.93,27.97,4.605,10610,171.39
20160316_142009_1281_361,6,4,1,687,693,753.89,0.005306,0.007959,13.4,48.0,5.9926,13807,177.06
20160316_142009_1281_721,1,0,2,168,166,172.63,0.0,0.005793,10.3,26.0,0.5642,1300,179.43
20160316_142009_1921_1,2,0,1,55,54,61.04,0.0,0.032765,19.26,46.0,0.4657,1073,175.18
20160316_142009_1921_361,2,0,1,761,760,857.34,0.0,0.002333,24.6,117.15,11.4705,26428,147.78
20160316_142009_1921_721,0,0,2,208,206,211.8,0.0,0.0,10.57,31.58,0.5968,1375,178.15
20160316_142009_1_361,6,4,1,672,675,762.4,0.005247,0.00787,14.67,47.94,7.5747,17452,11.09
20160316_142009_641_361,9,4,3,663,665,770.21,0.005193,0.011685,12.93,60.0,5.9132,13624,4.11
20160316_142014_1281_361,25,9,9,627,628,722.44,0.012458,0.034605,6.57,25.58,2.6923,6203,174.39
20160316_142014_1921_361,13,11,3,966,983,1106.44,0.009942,0.011749,15.1,85.58,6.8147,15701,175.22
20160316_142014_1_1081,9,2,4,348,347,409.96,0.004879,0.021953,5.64,15.59,1.3125,3024,161.75
20160316_142014_641_1081,7,5,1,317,325,388.37,0.012874,0.018024,6.46,23.58,1.3546,3121,155.02
20160316_142014_641_361,11,4,5,374,374,428.26,0.00934,0.025685,4.15,12.79,1.0408,2398,141.14
20160316_142014_641_721,7,1,4,283,281,328.63,0.003043,0.0213,3.85,10.79,0.7196,1658,39.31
20160316_142223_361_1,4,2,1,668,669,765.1,0.002614,0.005228,8.28,34.0,4.2431,9776,84.15
20160316_142223_361_1281,14,5,6,747,747,856.35,0.005839,0.016348,4.18,12.79,2.0217,4658,82.78
20160316_142223_361_1921,10,2,4,690,689,795.04,0.002516,0.012578,5.7,19.6,2.6372,6076,95.03
20160316_142223_361_641,10,7,4,685,689,773.09,0.009055,0.012935,5.71,17.58,2.5829,5951,89.99
20160316_142223_721_641,4,1,2,168,167,187.3,0.005339,0.021357,5.13,18.39,0.5139,1184,91.97
20160316_142226_1281_361,3,4,3,447,448,491.08,0.008145,0.006109,21.51,86.0,4.1246,9503,178.66
20160316_142226_1281_721,2,1,4,546,542,594.19,0.001683,0.003366,11.07,49.94,2.9071,6698,177.29
20160316_142226_1921_721,10,7,3,929,945,1100.74,0.006359,0.009085,17.05,53.94,11.0786,25525,23.19
20160316_142226_1_361,16,16,4,946,980,1140.71,0.014026,0.014026,11.55,35.19,7.3129,16849,27.49
20160316_142226_641_361,7,7,1,496,501,574.73,0.01218,0.01218,9.15,31.58,3.0664,7065,10.2
20160316_142226_641_721,2,1,1,296,295,333.94,0.002995,0.005989,10.56,32.0,2.3945,5517,9.41
20160316_142449_1281_721,20,17,2,1107,1126,1271.8,0.013367,0.015726,17.1,54.36,11.6658,26878,2.23
20160316_142449_1921_361,2,4,1,264,268,316.88,0.012623,0.006312,16.46,46.0,3.1393,7233,155.15
20160316_142449_1921_721,5,5,1,617,622,716.44,0.006979,0.006979,15.83,45.94,7.332,16893,161.03
20160316_142449_1_361,11,10,3,899,911,1022.01,0.009785,0.010763,14.99,54.73,8.0516,18551,1.72
20160316_142449_641_361,5,6,1,442,452,510.82,0.011746,0.009788,12.62,42.0,4.0799,9400,0.97
20160316_142449_641_721,13,12,1,572,588,685.34,0.01751,0.018969,12.54,47.54,4.0334,9293,21.29
20160316_143433_1281_1,9,3,3,331,333,390.16,0.007689,0.023067,3.84,12.0,0.7817,1801,148.6
20160316_143433_1281_721,11,4,4,813,813,928.98,0.004306,0.011841,5.63,18.78,3.3411,7698,173.53
20160316_143433_1921_1,7,3,2,340,343,379.87,0.007898,0.018428,6.39,18.79,1.411,3251,93.15
20160316_143433_1921_1081,16,9,6,647,653,737.5,0.012203,0.021695,5.82,20.79,2.372,5465,169.46
20160316_143433_1921_721,14,5,6,694,696,804.94,0.006212,0.017393,6.35,21.58,2.9575,6814,27.74
20160316_143433_1_361,20,19,3,969,996,1140.56,0.016658,0.017535,6.39,24.0,4.0916,9427,173.21
20160316_143433_641_1,16,8,5,361,370,424.68,0.018838,0.037676,5.11,15.59,1.2595,2902,141.26
20160316_143433_641_361,21,14,5,860,871,1018.46,0.013746,0.020619,7.18,30.36,3.8889,8960,40.59
20160316_143433_641_721,7,9,1,434,453,540.4,0.016654,0.012953,6.2,20.38,1.8568,4278,27.55
20160316_143603_1281_1,16,10,7,788,797,937.42,0.010668,0.017068,5.18,17.58,2.6081,6009,127.97
20160316_143603_1281_361,23,21,5,1338,1361,1582.6,0.013269,0.014533,7.22,25.2,6.6155,15242,6.11
20160316_143603_1281_721,17,15,4,1099,1126,1290.44,0.011624,0.013174,9.9,36.0,6.9896,16104,12.01
20160316_143603_1921_1,5,3,1,302,302,366.62,0.008183,0.013638,9.08,28.0,1.9266,4439,139.2
20160316_143603_1921_1081,14,6,4,627,631,737.45,0.008136,0.018984,8.84,34.76,3.8646,8904,73.54
20160316_143603_1921_361,16,7,9,1178,1177,1337.3,0.005234,0.011964,8.02,31.96,5.9991,13822,172.21
20160316_143603_1921_721,21,8,11,887,887,999.67,0.008003,0.021007,6.61,29.16,3.2209,7421,154.01
20160316_143603_1_1,12,11,5,767,783,891.11,0.012344,0.013466,10.01,39.54,5.0881,11723,98.32
20160316_143603_1_1081,7,10,1,509,528,609.6,0.016404,0.011483,11.61,39.59,3.7934,8740,68.61
20160316_143603_1_361,17,14,3,1212,1227,1410.5,0.009926,0.012052,16.51,60.0,12.3845,28534,34.06
20160316_143603_1_721,5,6,1,438,447,505.4,0.011872,0.009893,12.22,36.36,3.8364,8839,74.07
20160316_143603_641_1,2,10,1,254,273,305.31,0.032754,0.006551,8.6,33.58,1.0395,2395,87.05
20160316_143603_641_1081,14,10,5,707,722,855.79,0.011685,0.016359,11.45,36.0,5.625,12960,146.56
20160316_143603_641_361,4,3,2,345,345,387.66,0.007739,0.010318,12.62,34.39,2.8581,6585,2.75
20160316_143603_641_721,9,11,1,993,1017,1143.34,0.009621,0.007872,11.14,39.2,6.9227,15950,154.05
20160316_143624_1081_1281,6,5,2,448,455,515.06,0.009708,0.011649,14.53,51.54,4.3967,10130,177.01
20160316_143624_1081_641,3,1,2,104,103,120.4,0.008306,0.024918,16.21,52.34,0.8941,2060,1.02
20160316_143624_1_641,8,5,3,538,545,646.07,0.007739,0.012383,12.89,34.76,5.3915,12422,37.14
20160316_143624_361_1281,6,5,1,635,640,707.52,0.007067,0.00848,13.12,38.36,6.066,13976,98.75
20160316_143624_361_1921,7,5,1,687,693,759.69,0.006582,0.009214,13.25,34.39,7.2873,16790,95.71
20160316_143624_361_641,5,4,1,537,546,646.65,0.006186,0.007732,13.17,46.0,5.1085,11770,23.41
20160316_143624_721_1281,6,5,3,599,604,671.1,0.00745,0.008941,14.74,52.0,4.9965,11512,166.67
20160316_143624_721_641,5,5,4,539,540,610.0,0.008197,0.008197,14.19,42.79,4.0265,9277,14.19
20160316_143629_1281_361,14,15,1,1020,1040,1193.67,0.012566,0.011729,18.05,63.15,10.1306,23341,23.02
20160316_143629_1281_721,4,1,3,231,230,259.82,0.003849,0.015395,15.19,58.8,1.2201,2811,76.15
20160316_143629_1921_361,11,9,2,741,751,853.31,0.010547,0.012891,16.39,50.0,8.1662,18815,164.24
20160316_143629_1921_721,0,3,1,355,360,423.37,0.007086,0.0,21.31,60.0,3.8624,8899,143.67
20160316_143629_1_721,12,10,1,889,901,1024.44,0.009761,0.011714,15.01,53.2,8.3364,19207,172.94
20160316_143629_641_361,9,13,1,877,890,1026.69,0.012662,0.008766,21.04,77.19,10.0386,23129,160.08
20160316_143629_641_721,1,0,2,206,204,218.5,0.0,0.004577,12.42,35.97,0.9293,2141,176.78
20160316_144105_1281_1,4,3,2,403,405,460.09,0.00652,0.008694,11.31,36.4,3.6732,8463,78.08
20160316_144105_1281_1081,8,9,2,609,628,711.26,0.012654,0.011248,18.94,59.97,6.5412,15071,91.45
20160316_144105_1281_361,29,34,4,1766,1812,2052.66,0.016564,0.014128,14.33,53.59,13.8012,31798,9.39
20160316_144105_1281_721,10,10,2,1212,1230,1431.72,0.006985,0.006985,13.4,41.57,11.1749,25747,150.81
20160316_144105_1921_1,5,6,1,535,543,646.14,0.009286,0.007738,14.81,47.6,4.9345,11369,133.19
20160316_144105_1921_361,7,6,1,592,595,705.6,0.008503,0.009921,15.0,48.0,6.1372,14140,151.66
20160316_144105_1_1,16,22,3,1142,1187,1398.25,0.015734,0.011443,12.1,41.54,8.7539,20169,27.2
20160316_144105_1_361,7,6,4,546,552,629.46,0.009532,0.011121,7.79,27.58,2.7678,6377,165.61
20160316_144105_1_721,8,4,2,503,507,574.93,0.006957,0.013915,9.3,39.16,2.9401,6774,18.86
