image,endpoint_count,branch_point_count,connected_components,graph_nodes,graph_edges,skeleton_length_pixels,branch_density,endpoint_density,average_width_pixels,maximum_width_pixels,crack_coverage_percent,crack_area_pixels,dominant_orientation_degrees,normalized_coverage,normalized_skeleton_length,normalized_max_width,normalized_branch_density,CSI,severity
20160308_072831_1921_361,3,2,1,230,232,250.64,0.00798,0.011969,27.38,80.69,2.8333,6528,5.43,0.12965694303596084,0.0672513664876704,0.7187777777777777,0.47699457553161273,34.82,Moderate
20160308_072831_1921_721,4,1,3,639,636,720.91,0.001387,0.005549,13.35,48.39,5.6432,13002,14.88,0.3058264981606554,0.4286534933092538,0.35988888888888887,0.08290620003287556,29.43,Moderate
20160308_072831_641_1,5,4,1,705,710,819.77,0.004879,0.006099,24.04,84.3,10.5061,24206,46.81,0.6107109885752172,0.5046273259109119,0.7588888888888888,0.29163615714520535,54.15,High
20160308_072831_641_1081,6,4,1,491,496,570.14,0.007016,0.010524,19.09,58.0,6.263,14430,88.56,0.3446854932374502,0.31278686634838,0.4666666666666667,0.41937267442729265,38.59,Moderate
20160308_072831_641_361,4,4,1,866,873,978.62,0.004087,0.004087,18.22,58.79,10.1285,23336,39.57,0.5870369702773828,0.6267034265458843,0.47544444444444445,0.2442953421300378,48.34,High
20160308_072831_641_721,3,2,1,399,400,439.76,0.004548,0.006822,17.93,46.0,5.7292,13200,84.02,0.31121835614162396,0.21258993842400029,0.3333333333333333,0.2718510437992199,28.22,Moderate
20160308_072844_1281_721,5,4,1,694,699,776.87,0.005149,0.006436,18.02,52.0,9.9431,22909,175.17,0.5754131276067829,0.4716587094976898,0.4,0.3077750713549216,43.87,Moderate
20160308_072844_1921_1,2,0,1,524,523,593.42,0.0,0.00337,19.51,58.33,7.487,17250,146.96,0.42142542543170125,0.33067752812226825,0.4703333333333333,0.0,30.56,Moderate
20160308_072844_1921_361,0,0,1,424,423,492.59,0.0,0.0,16.86,44.0,5.6988,13130,115.0,0.30931239704137464,0.25318975206294014,0.3111111111111111,0.0,21.84,Low
20160308_072844_1921_721,0,0,1,101,100,121.95,0.0,0.0,16.83,42.34,1.1866,2734,142.17,0.026415401905018666,0.0,0.2926666666666667,0.0,7.98,Low
20160308_072844_1_721,4,2,1,676,676,745.17,0.002684,0.005368,23.29,69.51,12.6853,29227,179.08,0.7473381619720405,0.44729728431589166,0.5945555555555556,0.16043276199584572,48.74,High
20160308_072844_641_721,8,4,2,768,771,874.55,0.004574,0.009148,25.46,79.09,14.0343,32335,3.05,0.8319150970456065,0.54672571302318,0.7010000000000001,0.27340516146385924,58.83,High
20160308_072935_1281_361,3,0,3,107,104,115.6,0.0,0.025952,7.52,19.6,0.4792,1104,167.77,0.0,0.0,0.040000000000000015,0.0,1.0,Low
20160308_072935_1281_721,5,4,1,712,716,816.24,0.004901,0.006126,15.36,47.99,8.125,18720,177.29,0.46142548812772427,0.5019145236745791,0.35544444444444445,0.29295117978451557,40.29,Moderate
20160308_072935_1921_361,7,5,1,743,749,849.65,0.005885,0.008239,17.5,68.33,8.7062,20059,4.72,0.49786441671538667,0.5275900825176035,0.5814444444444444,0.35176855601548135,48.97,High
20160308_072935_1921_721,3,2,2,167,167,194.34,0.010291,0.015437,32.06,95.98,2.0933,4823,2.83,0.08326188599041692,0.02398486056542331,0.8886666666666667,0.6151317264155172,40.28,Moderate
20160308_072935_1_361,10,9,1,791,800,914.32,0.009843,0.010937,19.18,55.53,11.3785,26216,3.91,0.6654069990705314,0.5772889268869059,0.43922222222222224,0.5883530835786547,56.76,High
20160308_072935_641_361,10,9,1,857,866,992.34,0.00907,0.010077,20.14,65.54,12.1345,27958,9.39,0.7128051924846276,0.6372472358043787,0.5504444444444445,0.5421479699338005,61.07,High
20160308_072935_641_721,1,1,2,200,199,226.75,0.00441,0.00441,18.59,46.0,1.8681,4304,16.38,0.06914274160304326,0.04889192019135632,0.3333333333333333,0.26360226542536497,17.87,Low
20160308_073014_1281_361,2,0,1,97,96,105.94,0.0,0.018878,31.53,90.79,1.2804,2950,164.76,0.03229628886565653,0.0,0.8310000000000001,0.0,21.58,Low
20160308_073014_1281_721,3,2,1,696,697,796.41,0.002511,0.003767,19.7,64.0,10.1662,23423,170.93,0.5894006103457842,0.48667518419965616,0.5333333333333333,0.1500919021503609,43.99,Moderate
20160308_073014_1921_361,2,1,1,663,663,753.71,0.001327,0.002654,21.0,87.18,9.9787,22991,172.17,0.577645106026812,0.4538602676298525,0.790888888888889,0.07931977465293863,47.54,High
20160308_073014_1921_721,3,1,1,83,83,94.18,0.010618,0.031853,21.44,59.19,0.9314,2146,14.1,0.01041537682660945,0.0,0.47988888888888886,0.6346777447361736,28.12,Moderate
20160308_073014_1_361,1,0,1,284,283,329.39,0.0,0.003036,32.88,89.58,7.7057,17754,25.59,0.4351370456693505,0.12777067983361995,0.8175555555555556,0.0,34.51,Moderate
20160308_073014_1_721,0,0,1,513,512,580.35,0.0,0.0,27.79,66.38,11.3581,26169,16.2,0.6641280002006272,0.3206332433548834,0.5597777777777777,0.0,38.61,Moderate
20160308_073014_641_721,2,2,1,735,738,827.06,0.002418,0.002418,29.42,84.0,17.3533,39982,174.02,1.0,0.5102296852035083,0.7555555555555555,0.14453294281145862,60.26,High
20160308_073213_1281_721,3,2,1,671,674,753.94,0.002653,0.003979,11.81,57.94,4.8828,11250,13.11,0.2581524422452072,0.4540370224497835,0.46599999999999997,0.15857977554954494,33.42,Moderate
20160308_073213_1921_1081,4,1,2,645,645,739.03,0.001353,0.005413,15.38,62.0,6.7917,15648,18.77,0.3778328806158003,0.44257869912295034,0.5111111111111111,0.08087389231757797,35.31,Moderate
20160308_073213_1_1,2,1,1,410,410,499.88,0.002,0.004001,24.57,83.91,6.8924,15880,45.42,0.38414637013537634,0.2587921113555366,0.7545555555555555,0.11954751266456462,37.93,Moderate
20160308_073213_1_361,0,0,1,475,474,579.21,0.0,0.0,16.85,51.54,6.5738,15146,36.03,0.36417141719657864,0.3197571542473992,0.3948888888888889,0.0,26.97,Low
20160308_073213_641_361,0,0,1,107,106,130.02,0.0,0.0,8.34,21.19,0.6953,1602,38.5,0.0,0.0,0.05766666666666668,0.0,1.44,Low
20160308_073213_641_721,2,1,1,580,580,679.0,0.001473,0.002946,18.52,74.3,7.9184,18244,19.15,0.44847248976879267,0.39644569112095224,0.6477777777777778,0.08804674307745183,39.52,Moderate
20160308_073356_1281_1081,1,0,1,335,334,388.26,0.0,0.002576,12.81,40.75,3.4019,7838,67.77,0.16530590173338827,0.173012228743792,0.275,0.0,15.33,Low
20160308_073356_1281_361,2,1,2,263,262,289.75,0.003451,0.006902,24.01,82.0,2.8581,6585,91.78,0.13121180440721691,0.09730737086811596,0.7333333333333333,0.20627923310270624,29.2,Moderate
20160308_073356_1281_721,2,1,1,319,319,352.14,0.00284,0.00568,13.51,42.79,3.049,7025,90.76,0.14318047520450658,0.1452540370224498,0.29766666666666663,0.16975746798368174,18.9,Low
20160308_073356_641_1,6,6,1,509,517,589.49,0.010178,0.010178,15.67,44.76,5.8971,13587,74.46,0.32174501840911973,0.32765732619909904,0.31955555555555554,0.6083772919499693,39.43,Moderate
20160308_073356_641_1081,1,0,1,91,90,100.77,0.0,0.009924,13.82,32.0,0.8247,1900,72.95,0.0037257111688262868,0.0,0.17777777777777778,0.0,4.54,Low
20160308_073356_641_361,2,0,2,334,332,367.62,0.0,0.00544,13.52,40.79,2.4462,5636,84.52,0.10538731251929861,0.15715040490302504,0.27544444444444444,0.0,13.45,Low
20160308_073356_641_721,2,0,2,132,130,145.74,0.0,0.013723,15.33,43.15,1.082,2493,93.91,0.019857397895607993,0.0,0.30166666666666664,0.0,8.04,Low
20160308_074702_1281_361,3,2,1,723,723,797.97,0.002506,0.00376,37.34,108.77,19.8129,45649,178.31,1.0,0.4878740429783188,1.0,0.14979303336869945,65.94,High
20160308_074702_1281_721,1,0,2,120,118,128.77,0.0,0.007766,12.56,38.76,0.5239,1207,179.8,0.0,0.0,0.2528888888888889,0.0,6.32,Low
20160308_074702_1921_361,3,1,1,678,677,741.62,0.001348,0.004045,29.33,85.12,16.5282,38081,177.75,0.9882727088913931,0.44456911209521716,0.768,0.08057502353591654,57.04,High
20160308_074702_1_1081,1,0,1,215,214,246.72,0.0,0.004053,13.73,39.54,2.2244,5125,151.46,0.09148133461024234,0.06423884955667203,0.26155555555555554,0.0,10.43,Low
20160308_074702_1_361,4,2,1,709,711,812.07,0.002463,0.004926,20.8,80.79,11.7969,27180,179.2,0.6916390151081742,0.49870988193930793,0.7198888888888889,0.1472227618464113,51.44,High
20160308_074702_1_721,5,0,4,640,636,751.98,0.0,0.006649,11.98,72.8,5.3832,12403,170.36,0.28952553217168053,0.4525307639842843,0.6311111111111111,0.0,34.33,Moderate
20160308_074702_641_361,3,1,2,616,614,712.58,0.001403,0.00421,41.24,144.21,12.3008,28341,0.76,0.7232315411152681,0.42225189483088227,1.0,0.08386258013419207,55.73,High
20160308_074702_641_721,4,1,2,425,424,463.35,0.002158,0.008633,32.8,109.59,6.9175,15938,178.91,0.3857200403135428,0.23071883495518697,1.0,0.12899176616506522,43.64,Moderate
20160308_155720_1281_1,13,9,2,868,877,991.74,0.009075,0.013108,12.37,43.15,7.5074,17297,172.58,0.42270442430160543,0.6367861362741238,0.30166666666666664,0.542446838715462,47.59,High
20160308_155720_1281_1081,13,9,3,955,962,1138.04,0.007908,0.011423,16.37,74.35,6.1593,14191,154.37,0.3381839156487706,0.7492175717345989,0.6483333333333333,0.47269086507568847,55.21,High
20160308_155720_1281_361,10,3,4,725,727,817.3,0.003671,0.012235,9.21,28.78,4.6523,10719,2.73,0.24370100893575067,0.502729132844696,0.14200000000000002,0.21942945949580833,27.7,Low
20160308_155720_1281_721,13,14,2,1740,1754,1972.7,0.007097,0.00659,11.32,43.94,12.1528,28000,174.63,0.7139525297061593,1.0,0.3104444444444444,0.4242143486902075,61.22,High
20160308_155720_1921_1,14,10,3,982,996,1124.41,0.008894,0.012451,11.48,37.58,7.4449,17153,177.14,0.418785922861948,0.738742927405643,0.23977777777777776,0.5316277888193188,48.22,High
20160308_155720_1921_361,3,2,1,174,173,210.69,0.009492,0.014239,7.43,20.38,0.9531,2196,140.46,0.011775880526458506,0.03654982276486807,0.04866666666666666,0.5673724951060237,16.61,Low
20160308_155720_1921_721,9,2,4,654,653,725.07,0.002758,0.012413,8.63,29.18,3.6385,8383,172.82,0.18013978078335544,0.4318504500523541,0.14644444444444443,0.1648560199644346,23.08,Low
20160308_155720_1_1,9,8,1,889,900,1047.87,0.007635,0.008589,12.23,34.39,7.862,18114,27.66,0.44493643406964584,0.6799219973294652,0.20433333333333334,0.45637262959697544,44.64,Moderate
20160308_155720_1_1081,1,0,1,453,452,523.24,0.0,0.001911,3.55,9.99,1.072,2470,23.76,0.019230437665262803,0.27674425306679223,0.0,0.0,7.4,Low
20160308_155720_1_361,1,0,1,126,125,140.74,0.0,0.007105,12.65,32.0,1.0269,2366,13.08,0.016402847026405994,0.0,0.17777777777777778,0.0,4.85,Low
20160308_155720_641_1,5,4,1,552,556,616.89,0.006484,0.008105,11.95,34.36,4.4761,10313,167.87,0.23265396967706842,0.348714204747404,0.204,0.3875730360585185,29.32,Moderate
20160308_155720_641_1081,9,7,4,983,990,1109.71,0.006308,0.00811,8.17,31.58,4.6267,10660,163.83,0.24209599074606694,0.7274459889143989,0.1731111111111111,0.3770528549440368,37.99,Moderate
20160308_155720_641_361,7,7,2,604,612,686.14,0.010202,0.010202,14.5,43.54,5.8759,13538,79.36,0.3204158627207879,0.401932775530985,0.306,0.609811862101944,40.95,Moderate
20160308_155720_641_721,8,8,1,1114,1125,1298.97,0.006159,0.006159,9.79,36.39,6.5217,15026,31.15,0.3609049543964802,0.8728921507411217,0.22655555555555557,0.36814656525052675,45.71,Moderate
20160308_155828_1281_721,7,3,4,627,628,688.48,0.004357,0.010167,9.01,40.76,3.8008,8757,174.91,0.19031534532185787,0.40373106369897893,0.2751111111111111,0.260434256339754,28.24,Moderate
20160308_155828_1921_361,3,0,3,306,303,323.71,0.0,0.009268,11.21,43.94,1.4141,3258,0.62,0.040678747145371695,0.12340560428054065,0.3104444444444444,0.0,11.86,Low
20160308_155828_1921_721,5,2,4,505,504,563.23,0.003551,0.008877,12.16,58.8,2.7418,6317,2.3,0.12392025692830239,0.30747653675827824,0.4755555555555555,0.21225660873593447,27.98,Moderate
20160308_155828_1_361,1,0,1,488,487,569.01,0.0,0.001757,5.45,19.99,1.8754,4321,18.17,0.06960042257119524,0.3119184622330667,0.044333333333333315,0.0,10.65,Low
20160308_155828_1_721,0,0,1,210,209,237.99,0.0,0.0,4.28,15.59,0.4744,1093,16.4,0.0,0.05752985139146392,0.0,0.0,1.44,Low
20160308_155828_641_721,9,6,2,686,692,790.58,0.007589,0.011384,6.81,23.18,2.9957,6902,174.53,0.1398387771767667,0.48219483376401323,0.07977777777777778,0.45362303680569044,28.89,Moderate
20160308_160053_1281_361,4,2,1,668,670,740.42,0.002701,0.005402,18.23,60.0,9.2843,21391,171.31,0.5341089876316419,0.44364691303470744,0.4888888888888889,0.1614489158534945,40.7,Moderate
20160308_160053_1921_361,6,2,2,677,677,736.65,0.002715,0.008145,18.8,56.39,8.8898,20482,176.29,0.5093754065445242,0.44074967098627277,0.4487777777777778,0.16228574844214647,39.03,Moderate
20160308_160053_1_361,2,0,2,272,270,288.64,0.0,0.006929,16.44,61.18,1.6402,3779,179.91,0.05485431795347642,0.09645433673714446,0.502,0.0,16.33,Low
20160308_160053_1_721,2,0,1,624,623,660.28,0.0,0.003029,24.27,75.9,10.7261,24713,178.64,0.6245041136428112,0.3820593857770008,0.6655555555555556,0.0,41.8,Moderate
20160308_160053_641_361,2,0,1,636,635,694.65,0.0,0.002879,18.73,62.0,7.1289,16425,175.26,0.39897397958304004,0.408472703868433,0.5111111111111111,0.0,32.96,Moderate
20160308_160053_641_721,0,0,2,175,173,180.87,0.0,0.0,11.96,32.0,0.592,1364,0.89,0.0,0.013633176111201847,0.17777777777777778,0.0,4.79,Low
20160310_114446_641_1,4,4,1,591,594,681.81,0.005867,0.005867,29.85,82.3,12.5612,28941,93.98,0.7395575855134568,0.3986051739209791,0.7366666666666666,0.3506926284015003,55.64,High
20160310_114446_641_1081,3,1,1,387,388,436.46,0.002291,0.006873,25.68,69.91,8.0343,18511,98.27,0.4557389588384934,0.21005389100759858,0.599,0.13694167575725877,35.04,Moderate
20160310_114446_641_361,5,8,1,661,674,787.91,0.010153,0.006346,33.52,93.09,11.9957,27638,89.88,0.7041029844874365,0.4801429408543791,0.8565555555555556,0.6068829480416623,66.19,High
20160310_114446_641_721,6,7,2,807,824,964.42,0.007258,0.006221,27.67,103.47,9.9197,22855,71.78,0.5739460406677752,0.6157907376631861,0.9718888888888889,0.43383792345970495,64.89,High
20160316_141721_1281_721,2,1,1,818,818,933.57,0.001071,0.002142,7.99,22.39,5.1189,11794,3.41,0.27295497328365714,0.5920825368159158,0.07100000000000001,0.06401769303187434,25.0,Low
20160316_141721_1921_361,2,0,2,380,378,404.1,0.0,0.004949,10.95,41.15,2.3299,5368,178.45,0.09809576504038406,0.18518525634252017,0.27944444444444444,0.0,14.07,Low
20160316_141721_1921_721,1,1,2,496,494,548.26,0.001824,0.001824,9.15,30.76,2.6523,6111,172.43,0.11830896286671294,0.2959721034784196,0.164,0.10902733155008293,17.18,Low
20160316_141721_1_721,6,4,1,664,667,746.94,0.005355,0.008033,9.49,34.0,4.822,11110,2.5,0.2543405240447085,0.4486575279301436,0.2,0.3200884651593718,30.58,Moderate
20160316_141721_641_721,7,5,2,660,662,752.71,0.006643,0.0093,8.93,27.97,4.605,10610,171.39,0.24073548704621794,0.45309176841276105,0.13299999999999998,0.3970770633153513,30.6,Moderate
20160316_142009_1281_361,6,4,1,687,693,753.89,0.005306,0.007959,13.4,48.0,5.9926,13807,177.06,0.3277324886089163,0.4539985974889289,0.35555555555555557,0.3171595510990899,36.36,Moderate
20160316_142009_1281_721,1,0,2,168,166,172.63,0.0,0.005793,10.3,26.0,0.5642,1300,179.43,0.0,0.007300742562368516,0.1111111111111111,0.0,2.96,Low
20160316_142009_1921_1,2,0,1,55,54,61.04,0.0,0.032765,19.26,46.0,0.4657,1073,175.18,0.0,0.0,0.3333333333333333,0.0,8.33,Low
20160316_142009_1921_361,2,0,1,761,760,857.34,0.0,0.002333,24.6,117.15,11.4705,26428,147.78,0.6711750331897071,0.5334998414970367,1.0,0.0,55.12,High
20160316_142009_1921_721,0,0,2,208,206,211.8,0.0,0.0,10.57,31.58,0.5968,1375,178.15,0.0,0.03740285689583956,0.1731111111111111,0.0,5.26,Low
20160316_142009_1_361,6,4,1,672,675,762.4,0.005247,0.00787,14.67,47.94,7.5747,17452,11.09,0.4269238666518286,0.4605385258263769,0.35488888888888886,0.3136328994754852,38.9,Moderate
20160316_142009_641_361,9,4,3,663,665,770.21,0.005193,0.011685,12.93,60.0,5.9132,13624,4.11,0.3227544243799755,0.466540504711861,0.4888888888888889,0.310405116633542,39.71,Moderate
20160316_142014_1281_361,25,9,9,627,628,722.44,0.012458,0.034605,6.57,25.58,2.6923,6203,174.39,0.1208168037880937,0.4298292971114037,0.10644444444444442,0.744661456387573,35.04,Moderate
20160316_142014_1921_361,13,11,3,966,983,1106.44,0.009942,0.011749,15.1,85.58,6.8147,15701,175.22,0.37927488914559426,0.72493299647451,0.7731111111111111,0.5942706854555506,61.79,High
20160316_142014_1_1081,9,2,4,348,347,409.96,0.004879,0.021953,5.64,15.59,1.3125,3024,161.75,0.03430883120506459,0.18968866175467586,0.0,0.29163615714520535,12.89,Low
20160316_142014_641_1081,7,5,1,317,325,388.37,0.012874,0.018024,6.46,23.58,1.3546,3121,155.02,0.03694833377481783,0.17309676365767207,0.0842222222222222,0.7695273390218024,26.59,Low
20160316_142014_641_361,11,4,5,374,374,428.26,0.00934,0.025685,4.15,12.79,1.0408,2398,141.14,0.01727432174658581,0.2037521974274489,0.0,0.5582868841435167,19.48,Low
20160316_142014_641_721,7,1,4,283,281,328.63,0.003043,0.0213,3.85,10.79,0.7196,1658,39.31,0.0,0.12718662042863046,0.0,0.18189154051913506,7.73,Low
20160316_142223_361_1,4,2,1,668,669,765.1,0.002614,0.005228,8.28,34.0,4.2431,9776,84.15,0.21804579631002555,0.46261347371252376,0.2,0.15624859905258595,25.92,Low
20160316_142223_361_1281,14,5,6,747,747,856.35,0.005839,0.016348,4.18,12.79,2.0217,4658,82.78,0.07877285074114536,0.5327390272721161,0.0,0.34901896322419634,24.01,Low
20160316_142223_361_1921,10,2,4,690,689,795.04,0.002516,0.012578,5.7,19.6,2.6372,6076,95.03,0.11736225291889171,0.48562234027224094,0.040000000000000015,0.15039077093202227,19.83,Low
20160316_142223_361_641,10,7,4,685,689,773.09,0.009055,0.012935,5.71,17.58,2.5829,5951,89.99,0.11395785886811734,0.46875378245708427,0.017555555555555536,0.5412513635888163,28.54,Moderate
20160316_142223_721_641,4,1,2,168,167,187.3,0.005339,0.021357,5.13,18.39,0.5139,1184,91.97,0.0,0.0185746260770997,0.02655555555555556,0.31913208505805524,9.11,Low
20160316_142226_1281_361,3,4,3,447,448,491.08,0.008145,0.006109,21.51,86.0,4.1246,9503,178.66,0.21061631758043506,0.2520293182451321,0.7777777777777778,0.48685724532643937,43.18,Moderate
20160316_142226_1281_721,2,1,4,546,542,594.19,0.001683,0.003366,11.07,49.94,2.9071,6698,177.29,0.13428390953590832,0.3312692725194287,0.37711111111111106,0.10059923190723112,23.58,Low
20160316_142226_1921_721,10,7,3,929,945,1100.74,0.006359,0.009085,17.05,53.94,11.0786,25525,23.19,0.6466044617624791,0.7205525509370889,0.4215555555555555,0.3801013165169832,54.22,High
20160316_142226_1_361,16,16,4,946,980,1140.71,0.014026,0.014026,11.55,35.19,7.3129,16849,27.49,0.4105100478213915,0.751269464644233,0.2132222222222222,0.8383867063165916,55.33,High
20160316_142226_641_361,7,7,1,496,501,574.73,0.01218,0.01218,9.15,31.58,3.0664,7065,10.2,0.1442713860053072,0.3163142777548296,0.1731111111111111,0.7280443521271984,34.04,Moderate
20160316_142226_641_721,2,1,1,296,295,333.94,0.002995,0.005989,10.56,32.0,2.3945,5517,9.41,0.10214592812841397,0.13126735127138592,0.17777777777777778,0.1790224002151855,14.76,Low
20160316_142449_1281_721,20,17,2,1107,1126,1271.8,0.013367,0.015726,17.1,54.36,11.6658,26878,2.23,0.6834195664883488,0.8520120270127477,0.4262222222222222,0.7989958008936177,69.02,High
20160316_142449_1921_361,2,4,1,264,268,316.88,0.012623,0.006312,16.46,46.0,3.1393,7233,155.15,0.14884192608452362,0.11815675462780625,0.3333333333333333,0.7545241261823996,33.87,Moderate
20160316_142449_1921_721,5,5,1,617,622,716.44,0.006979,0.006979,15.83,45.94,7.332,16893,161.03,0.41170754186135083,0.42521830180885517,0.33266666666666667,0.4171610454429982,39.67,Moderate
20160316_142449_1_361,11,10,3,899,911,1022.01,0.009785,0.010763,14.99,54.73,8.0516,18551,1.72,0.45682360003699063,0.6600486075754811,0.4303333333333333,0.5848862057113824,53.3,High
20160316_142449_641_361,5,6,1,442,452,510.82,0.011746,0.009788,12.62,42.0,4.0799,9400,0.97,0.20781380535079208,0.2671994927905168,0.28888888888888886,0.7021025418789879,36.65,Moderate
20160316_142449_641_721,13,12,1,572,588,685.34,0.01751,0.018969,12.54,47.54,4.0334,9293,21.29,0.20489844027968696,0.4013179761573119,0.35044444444444445,1.0,48.92,High
20160316_143433_1281_1,9,3,3,331,333,390.16,0.007689,0.023067,3.84,12.0,0.7817,1801,148.6,0.0010297821783419737,0.17447237725626574,0.0,0.45960041243891864,15.88,Low
20160316_143433_1281_721,11,4,4,813,813,928.98,0.004306,0.011841,5.63,18.78,3.3411,7698,173.53,0.16149398353288952,0.5885551254094661,0.030888888888888903,0.2573857947668076,25.96,Low
20160316_143433_1921_1,7,3,2,340,343,379.87,0.007898,0.018428,6.39,18.79,1.411,3251,93.15,0.040484389473964696,0.16656452031239496,0.03099999999999999,0.4720931275123657,17.75,Low
20160316_143433_1921_1081,16,9,6,647,653,737.5,0.012203,0.021695,5.82,20.79,2.372,5465,169.46,0.1007352676101373,0.4414028953208005,0.05322222222222221,0.729419148522841,33.12,Moderate
20160316_143433_1921_721,14,5,6,694,696,804.94,0.006212,0.017393,6.35,21.58,2.9575,6814,27.74,0.1374437890968481,0.4932304825214461,0.06199999999999998,0.3713145743361377,26.6,Low
20160316_143433_1_361,20,19,3,969,996,1140.56,0.016658,0.017535,6.39,24.0,4.0916,9427,173.21,0.2085473488202959,0.7511541897616693,0.08888888888888889,0.9957112329831586,51.11,High
20160316_143433_641_1,16,8,5,361,370,424.68,0.018838,0.037676,5.11,15.59,1.2595,2902,141.26,0.03098594198423509,0.20100097023026162,0.0,1.0,30.8,Moderate
20160316_143433_641_361,21,14,5,860,871,1018.46,0.013746,0.020619,7.18,30.36,3.8889,8960,40.59,0.19583886495119895,0.6573204353548067,0.15955555555555556,0.8216500545435526,45.86,Moderate
20160316_143433_641_721,7,9,1,434,453,540.4,0.016654,0.012953,6.2,20.38,1.8568,4278,27.55,0.06843427654275319,0.28993169963208104,0.04866666666666666,0.9954721379578294,35.06,Moderate
20160316_143603_1281_1,16,10,7,788,797,937.42,0.010668,0.017068,5.18,17.58,2.6081,6009,127.97,0.11553779864858721,0.5950412588017177,0.017555555555555536,0.6376664325527877,34.15,Moderate
20160316_143603_1281_361,23,21,5,1338,1361,1582.6,0.013269,0.014533,7.22,25.2,6.6155,15242,6.11,0.36678584135711806,1.0,0.10222222222222221,0.7931379727730539,56.55,High
20160316_143603_1281_721,17,15,4,1099,1126,1290.44,0.011624,0.013174,9.9,36.0,6.9896,16104,12.01,0.3902404235743316,0.8663368524193318,0.2222222222222222,0.6948101436064495,54.34,High
20160316_143603_1921_1,5,3,1,302,302,366.62,0.008183,0.013638,9.08,28.0,1.9266,4439,139.2,0.07281045895056262,0.15638190568593363,0.13333333333333333,0.4891286480670661,21.29,Low
20160316_143603_1921_1081,14,6,4,627,631,737.45,0.008136,0.018984,8.84,34.76,3.8646,8904,73.54,0.19431535159146016,0.44136447035994597,0.20844444444444443,0.4863192815194488,33.26,Moderate
20160316_143603_1921_361,16,7,9,1178,1177,1337.3,0.005234,0.011964,8.02,31.96,5.9991,13822,172.21,0.3281400127586407,0.9023487257322359,0.17733333333333334,0.3128558406431656,43.02,Moderate
20160316_143603_1921_721,21,8,11,887,887,999.67,0.008003,0.021007,6.61,29.16,3.2209,7421,154.01,0.15395792156414037,0.6428803350656588,0.14622222222222223,0.47836937192725526,35.54,Moderate
20160316_143603_1_1,12,11,5,767,783,891.11,0.012344,0.013466,10.01,39.54,5.0881,11723,98.32,0.271023935774194,0.5594520600582139,0.26155555555555554,0.7378472481656928,45.75,Moderate
20160316_143603_1_1081,7,10,1,509,528,609.6,0.016404,0.011483,11.61,39.59,3.7934,8740,68.61,0.18985139475140242,0.34311184545480755,0.26211111111111113,0.9805286988747588,44.39,Moderate
20160316_143603_1_361,17,14,3,1212,1227,1410.5,0.009926,0.012052,16.51,60.0,12.3845,28534,34.06,0.7284791982432574,0.9586028684233279,0.4888888888888889,0.5933143053542342,69.23,High
20160316_143603_1_721,5,6,1,438,447,505.4,0.011872,0.009893,12.22,36.36,3.8364,8839,74.07,0.1925473237418867,0.26303422703388124,0.2262222222222222,0.7096340351768555,34.79,Moderate
20160316_143603_641_1,2,10,1,254,273,305.31,0.032754,0.006551,8.6,33.58,1.0395,2395,87.05,0.017192816916640943,0.10926521868605849,0.1953333333333333,1.0,33.04,Moderate
20160316_143603_641_1081,14,10,5,707,722,855.79,0.011685,0.016359,11.45,36.0,5.625,12960,146.56,0.30468543054142716,0.5323086677105449,0.2222222222222222,0.6984563427427187,43.94,Moderate
20160316_143603_641_361,4,3,2,345,345,387.66,0.007739,0.010318,12.62,34.39,2.8581,6585,2.75,0.13121180440721691,0.17255112921353719,0.20433333333333334,0.4625891002555328,24.27,Low
20160316_143603_641_721,9,11,1,993,1017,1143.34,0.009621,0.007872,11.14,39.2,6.9227,15950,154.05,0.3860460596333223,0.7532906175851835,0.25777777777777783,0.575083309672888,49.3,High
20160316_143624_1081_1281,6,5,2,448,455,515.06,0.009708,0.011649,14.53,51.54,4.3967,10130,177.01,0.22767590544812763,0.27045792947098435,0.3948888888888889,0.5802836264737966,36.83,Moderate
20160316_143624_1081_641,3,1,2,104,103,120.4,0.008306,0.024918,16.21,52.34,0.8941,2060,1.02,0.008076815167421897,0.0,0.4037777777777778,0.4964808200959368,22.71,Low
20160316_143624_1_641,8,5,3,538,545,646.07,0.007739,0.012383,12.89,34.76,5.3915,12422,37.14,0.290045909162867,0.3711390119021317,0.20844444444444443,0.4625891002555328,33.31,Moderate
20160316_143624_361_1281,6,5,1,635,640,707.52,0.007067,0.00848,13.12,38.36,6.066,13976,98.75,0.33233437669964994,0.41836328879239965,0.24844444444444444,0.42242113600023906,35.54,Moderate
20160316_143624_361_1921,7,5,1,687,693,759.69,0.006582,0.009214,13.25,34.39,7.2873,16790,95.71,0.40890502963170783,0.4584558929480592,0.20433333333333334,0.39343086417908213,36.63,Moderate
20160316_143624_361_641,5,4,1,537,546,646.65,0.006186,0.007732,13.17,46.0,5.1085,11770,23.41,0.27230293464409816,0.3715847414480447,0.3333333333333333,0.3697604566714983,33.67,Moderate
20160316_143624_721_1281,6,5,3,599,604,671.1,0.00745,0.008941,14.74,52.0,4.9965,11512,166.67,0.26528098006423206,0.39037454730593,0.4,0.44531448467550316,37.52,Moderate
20160316_143624_721_641,5,5,4,539,540,610.0,0.008197,0.008197,14.19,42.79,4.0265,9277,14.19,0.20446583772074878,0.34341924514164407,0.29766666666666663,0.48996548065571804,33.39,Moderate
